2200001,AED,INR,50000
2200002,AED,INR,50001
2200003,AED,INR,50002
2200004,AED,INR,50003
2200005,AED,INR,50004
2200006,AED,INR,50005
2200007,AED,INR,50006
2200008,AED,INR,50007
2200009,AED,INR,50008
2200010,AED,INR,50009
2200011,AED,INR,50010
2200012,AED,INR,50011
2200013,AED,INR,50012
2200014,qq,INR,50013
2200015,AED,111,50014
000016,AED,INR,50015
2200017,AED,INR,50016
2200018,AED,INR,50017
2200019,AED,INR,50018
2200020,AED,INR,50019
2200021,AED,Z,50020
2200022,AED,INR,50021
2200023,AED,INR
2200024,AED,INR,0
2200025,AED,INR,50024
2200026,AED,INR,50025
00027,AED,INR,50026
2200028,ZZZ,INR,50027
2200029,AED,0,50028
2200030,AED,INR,50029
2200031,AED,50030
2200032,AED,INR,50031
2200033,AED,INR,50032
2200034,AED,INR,50033
2200035,AED,INR,50034
2200036,AED,INR,50035
2200037,AED,INR,50036
2200038,AED,INR,50037
2200039,AED,INR,50038
2200040,AED,INR,50039
2200041,AED,INR,50040
2200042,AED,INR,50041
2200043,AED,INR,50042
2200044,AED,INR,50043
2200045,AED,INR,50044
2200046,AED,INR,50045
2200047,AED,INR,50046
2200048,AED,INR,50047
2200049,AED,INR,50048
2200050,AED,INR,50049
2200051,AED,INR,50050
2200052,AED,INR,50051
2200053,AED,INR,50052
2200054,AED,INR,50053
2200055,AED,INR,50054
2200056,AED,INR,50055
2200057,AED,INR,50056
2200058,AED,INR,50057
2200059,AED,INR,50058
2200060,AED,INR,50059
2200061,AED,INR,50060
2200062,AED,INR,50061
2200063,AED,INR,50062
2200064,AED,INR,50063
2200065,AED,INR,50064
2200066,AED,INR,50065
2200067,AED,INR,50066
2200068,AED,INR,50067
2200069,AED,INR,50068
2200070,AED,INR,50069
2200071,AED,INR,50070
2200072,AED,INR,50071
2200073,AED,INR,50072
2200074,AED,INR,50073
2200075,AED,INR,50074
2200076,AED,INR,50075
2200077,AED,INR,50076
2200078,AED,INR,50077
2200079,AED,INR,50078
2200080,AED,INR,50079
2200081,AED,INR,50080
2200082,AED,INR,50081
2200083,AED,INR,50082
2200084,AED,INR,50083
2200085,AED,INR,50084
2200086,AED,INR,50085
2200087,AED,INR,50086
2200088,AED,INR,50087
2200089,AED,INR,50088
2200090,AED,INR,50089
2200091,AED,INR,50090
2200092,AED,INR,50091
2200093,AED,INR,50092
2200094,AED,INR,50093
2200095,AED,INR,50094
2200096,AED,INR,50095
2200097,AED,INR,50096
2200098,AED,INR,50097
2200099,AED,INR,50098
2200100,AED,INR,50099
2200101,AED,INR,50210
2200102,AED,INR,50101
2200103,AED,INR,50102
2200104,AED,INR,50103
2200105,AED,INR,50104
2200106,AED,INR,50105
2200107,AED,INR,50106
2200108,AED,INR,50107
2200109,AED,INR,50108
2200110,AED,INR,50109
2200111,AED,INR,50110
2200112,AED,INR,50111
2200113,AED,INR,50112
2200114,AED,INR,50113
2200115,AED,INR,50114
2200116,AED,INR,50115
2200117,AED,INR,50116
2200118,AED,INR,50117
2200119,AED,INR,50118
2200120,AED,INR,50119
2200121,AED,INR,50120
2200122,AED,INR,50121
2200123,AED,INR,50122
2200124,AED,INR,50123
2200125,AED,INR,50124
2200126,AED,INR,50125
2200127,AED,INR,50126
2200128,AED,INR,50127
2200129,AED,INR,50128
